Animal ID,Name_Intake,DateTime_Intake,MonthYear_Intake,Found Location,Intake Type,Intake Condition,Animal Type_Intake,Sex upon Intake,Age upon Intake,Breed_Intake,Color_Intake,Name_Outcome,DateTime_Outcome,MonthYear_Outcome,Date of Birth,Animal Type_Outcome,Sex upon Outcome,Age upon Outcome,Breed_Outcome,Color_Outcome,binary_outcome
A771959,Spike,05/12/2018 03:07:00 PM,05/12/2018 03:07:00 PM,6600 Elm Creek Drive in Austin (TX),Stray,Normal,Dog,Intact Male,16 years,Chihuahua Shorthair Mix,Buff,Spike,05/13/2018 04:17:00 PM,05/13/2018 04:17:00 PM,04/13/2002,Dog,Intact Male,16 years,Chihuahua Shorthair Mix,Buff,0.0
A722182,Calli,03/12/2016 11:35:00 AM,03/12/2016 11:35:00 AM,Travis (TX),Owner Surrender,Normal,Cat,Intact Female,3 years,Domestic Shorthair Mix,Tortie,Calli,03/31/2016 01:31:00 PM,03/31/2016 01:31:00 PM,03/12/2013,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Tortie,0.0
A744686,*Louise,03/20/2017 04:16:00 PM,03/20/2017 04:16:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,2 years,Pit Bull Mix,Blue/White,*Louise,03/22/2017 01:06:00 PM,03/22/2017 01:06:00 PM,03/06/2015,Dog,Spayed Female,2 years,Pit Bull Mix,Blue/White,0.0
A731061,,07/15/2016 11:29:00 AM,07/15/2016 11:29:00 AM,Austin (TX),Owner Surrender,Normal,Bird,Intact Male,5 months,Chicken Mix,Black,,07/28/2016 12:00:00 AM,07/28/2016 12:00:00 AM,01/15/2016,Bird,Intact Male,6 months,Chicken Mix,Black,0.0
A700397,Mercedes,05/01/2015 11:43:00 AM,05/01/2015 11:43:00 AM,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,2 years,Jack Russell Terrier Mix,White/Brown,Mercedes,05/03/2015 07:10:00 PM,05/03/2015 07:10:00 PM,04/13/2013,Dog,Spayed Female,2 years,Jack Russell Terrier Mix,White/Brown,0.0
A698164,,03/06/2015 06:48:00 PM,03/06/2015 06:48:00 PM,201 San Jacinto Blvd in Austin (TX),Wildlife,Normal,Other,Unknown,4 weeks,Bat,Brown/Black,,03/07/2015 09:44:00 AM,03/07/2015 09:44:00 AM,02/06/2015,Other,Unknown,4 weeks,Bat,Brown/Black,1.0
A515503,Lonestar,08/03/2016 09:28:00 AM,08/03/2016 09:28:00 AM,51St St in Austin (TX),Stray,Normal,Dog,Neutered Male,10 years,Labrador Retriever Mix,Black,Lonestar,08/04/2016 09:14:00 AM,08/04/2016 09:14:00 AM,07/10/2006,Dog,Neutered Male,10 years,Labrador Retriever Mix,Black,0.0
A786619,Ariel,12/28/2018 03:57:00 PM,12/28/2018 03:57:00 PM,East 45Th Street And Duval Street in Austin (TX),Stray,Normal,Dog,Intact Female,4 years,Labrador Retriever Mix,Tan/White,Ariel,12/29/2018 05:07:00 PM,12/29/2018 05:07:00 PM,12/29/2014,Dog,Intact Female,4 years,Labrador Retriever Mix,Tan/White,0.0
A684390,*Spencer,07/22/2014 06:45:00 PM,07/22/2014 06:45:00 PM,4704 Louis Ave. in Austin (TX),Stray,Normal,Dog,Intact Male,5 years,Chihuahua Shorthair Mix,Buff/White,*Spencer,09/01/2014 07:25:00 PM,09/01/2014 07:25:00 PM,07/22/2009,Dog,Neutered Male,5 years,Chihuahua Shorthair Mix,Buff/White,0.0
A711459,*Hershey,09/07/2015 11:30:00 AM,09/07/2015 11:30:00 AM,Congress Ave And Dittmar in Austin (TX),Stray,Normal,Dog,Neutered Male,2 years,Labrador Retriever Mix,Chocolate/White,*Hershey,09/20/2015 03:53:00 PM,09/20/2015 03:53:00 PM,09/07/2013,Dog,Neutered Male,2 years,Labrador Retriever Mix,Chocolate/White,0.0
A746641,Rufus,04/06/2017 09:13:00 AM,04/06/2017 09:13:00 AM,Pflugerville (TX),Owner Surrender,Normal,Cat,Neutered Male,3 years,Domestic Shorthair Mix,Blue,Rufus,04/08/2017 04:51:00 PM,04/08/2017 04:51:00 PM,04/06/2014,Cat,Neutered Male,3 years,Domestic Shorthair Mix,Blue,0.0
A744588,Budders,03/03/2017 02:53:00 PM,03/03/2017 02:53:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,4 years,Domestic Longhair Mix,Orange Tabby,Budders,03/12/2017 11:41:00 AM,03/12/2017 11:41:00 AM,03/03/2013,Cat,Neutered Male,4 years,Domestic Longhair Mix,Orange Tabby,0.0
A738949,,12/07/2016 01:03:00 PM,12/07/2016 01:03:00 PM,2109 Warfield Way in Austin (TX),Stray,Normal,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Calico,,12/12/2016 04:04:00 PM,12/12/2016 04:04:00 PM,11/24/2015,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Calico,0.0
A699965,Tarzan,04/05/2015 11:03:00 AM,04/05/2015 11:03:00 AM,6309 Dooley Trl in Austin (TX),Stray,Normal,Dog,Neutered Male,2 years,Miniature Pinscher Mix,Black/Tricolor,Tarzan,04/11/2015 03:24:00 PM,04/11/2015 03:24:00 PM,04/05/2013,Dog,Neutered Male,2 years,Miniature Pinscher Mix,Black/Tricolor,0.0
A705637,Ford,06/19/2015 05:17:00 PM,06/19/2015 05:17:00 PM,1812 Miles Ave in Austin (TX),Owner Surrender,Sick,Dog,Unknown,6 months,Boxer Mix,White,Ford,06/19/2015 12:00:00 AM,06/19/2015 12:00:00 AM,11/19/2014,Dog,Unknown,6 months,Boxer Mix,White,0.0
A810724,Milo,12/18/2019 03:47:00 PM,12/18/2019 03:47:00 PM,1620 East Riverside Drive in Austin (TX),Stray,Normal,Cat,Neutered Male,1 year,Domestic Shorthair,Blue,Milo,12/18/2019 06:18:00 PM,12/18/2019 06:18:00 PM,12/18/2018,Cat,Neutered Male,1 year,Domestic Shorthair,Blue,0.0
A769138,*Payton,03/30/2018 10:46:00 PM,03/30/2018 10:46:00 PM,11725 Sun Glass Dr in Travis (TX),Stray,Normal,Dog,Intact Male,5 months,Beagle Mix,Black/Brown,*Payton,04/16/2018 03:01:00 PM,04/16/2018 03:01:00 PM,10/06/2017,Dog,Neutered Male,6 months,Beagle Mix,Black/Brown,0.0
A687390,,09/04/2014 11:54:00 AM,09/04/2014 11:54:00 AM,3206 Bruce Dr in Austin (TX),Stray,Normal,Cat,Unknown,1 year,Domestic Shorthair Mix,Orange Tabby,,09/06/2014 09:00:00 AM,09/06/2014 09:00:00 AM,09/04/2013,Cat,Unknown,1 year,Domestic Shorthair Mix,Orange Tabby,0.0
A812831,Hila,01/29/2020 02:06:00 PM,01/29/2020 02:06:00 PM,Cottage Promenade in Austin (TX),Stray,Normal,Dog,Intact Female,3 months,Yorkshire Terrier,Brown/Black,Hila,01/29/2020 06:45:00 PM,01/29/2020 06:45:00 PM,10/29/2019,Dog,Intact Female,3 months,Yorkshire Terrier,Brown/Black,0.0
A663684,Asher,11/10/2014 11:24:00 AM,11/10/2014 11:24:00 AM,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,6 years,Siberian Husky Mix,White/Tan,Asher,11/13/2014 06:43:00 PM,11/13/2014 06:43:00 PM,10/24/2008,Dog,Neutered Male,6 years,Siberian Husky Mix,White/Tan,0.0
A616489,Lola,10/16/2014 02:17:00 PM,10/16/2014 02:17:00 PM,West Lake Hills (TX),Stray,Normal,Dog,Spayed Female,3 years,Beagle Mix,Tan/White,Lola,10/16/2014 06:47:00 PM,10/16/2014 06:47:00 PM,01/23/2011,Dog,Spayed Female,3 years,Beagle Mix,Tan/White,0.0
A800742,,07/26/2019 12:21:00 AM,07/26/2019 12:21:00 AM,1108 E 6Th St in Austin (TX),Wildlife,Normal,Other,Unknown,1 year,Bat,Black,,07/26/2019 10:03:00 AM,07/26/2019 10:03:00 AM,07/26/2018,Other,Unknown,1 year,Bat,Black,1.0
A783600,,11/02/2018 03:00:00 PM,11/02/2018 03:00:00 PM,Austin (TX),Stray,Normal,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Tortie,,11/03/2018 07:37:00 AM,11/03/2018 07:37:00 AM,10/18/2018,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Tortie,0.0
A704245,,06/02/2015 06:22:00 PM,06/02/2015 06:22:00 PM,811 Thompson St in Austin (TX),Stray,Normal,Dog,Intact Female,2 months,Black Mouth Cur Mix,Tan/White,,06/07/2015 06:21:00 PM,06/07/2015 06:21:00 PM,03/22/2015,Dog,Spayed Female,2 months,Black Mouth Cur Mix,Tan/White,0.0
A710782,,08/27/2015 03:12:00 PM,08/27/2015 03:12:00 PM,Austin (TX),Stray,Normal,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Orange Tabby,,08/27/2015 05:16:00 PM,08/27/2015 05:16:00 PM,08/05/2015,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Orange Tabby,0.0
A678459,Nacho,05/09/2014 11:02:00 AM,05/09/2014 11:02:00 AM,1840 Burton Dr in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Longhair Mix,Orange Tabby,Nacho,06/03/2014 05:19:00 PM,06/03/2014 05:19:00 PM,03/29/2014,Cat,Neutered Male,2 months,Domestic Longhair Mix,Orange Tabby,0.0
A693409,,12/07/2014 12:51:00 PM,12/07/2014 12:51:00 PM,13913 Fall Springs Way in Manor (TX),Stray,Normal,Cat,Intact Female,4 months,Domestic Shorthair Mix,Black,,12/08/2014 09:00:00 AM,12/08/2014 09:00:00 AM,08/07/2014,Cat,Intact Female,4 months,Domestic Shorthair Mix,Black,0.0
A703114,,05/20/2015 04:41:00 PM,05/20/2015 04:41:00 PM,6902 Highland Circle #B in Austin (TX),Stray,Normal,Dog,Intact Female,1 month,Cardigan Welsh Corgi/Australian Cattle Dog,Tricolor,,05/23/2015 02:04:00 PM,05/23/2015 02:04:00 PM,03/20/2015,Dog,Intact Female,2 months,Cardigan Welsh Corgi/Australian Cattle Dog,Tricolor,0.0
A730980,,07/14/2016 11:06:00 AM,07/14/2016 11:06:00 AM,410 Blue Valley  Dr in Austin (TX),Stray,Normal,Cat,Intact Male,1 year,Domestic Shorthair Mix,Orange Tabby,,07/15/2016 09:00:00 AM,07/15/2016 09:00:00 AM,07/14/2015,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Orange Tabby,0.0
A699135,,03/23/2015 11:19:00 AM,03/23/2015 11:19:00 AM,Austin (TX),Stray,Normal,Dog,Intact Male,7 months,Catahoula Mix,Black/White,,03/26/2015 03:41:00 PM,03/26/2015 03:41:00 PM,07/23/2014,Dog,Intact Male,8 months,Catahoula Mix,Black/White,0.0
A766869,Shadow,02/25/2019 06:07:00 PM,02/25/2019 06:07:00 PM,Pflugerville (TX),Owner Surrender,Normal,Dog,Neutered Male,1 year,Black/Tan Hound Mix,Tricolor,Shadow,02/20/2018 06:32:00 PM,02/20/2018 06:32:00 PM,12/03/2017,Dog,Neutered Male,2 months,Black/Tan Hound Mix,Tricolor,0.0
A804099,Jackson,09/10/2019 04:10:00 PM,09/10/2019 04:10:00 PM,Pflugerville (TX),Owner Surrender,Normal,Cat,Neutered Male,4 years,Domestic Shorthair,Black/White,Jackson,10/13/2019 06:08:00 PM,10/13/2019 06:08:00 PM,09/10/2015,Cat,Neutered Male,4 years,Domestic Shorthair,Black/White,0.0
A668994,,12/12/2013 03:17:00 PM,12/12/2013 03:17:00 PM,Lake Creek And 183 in Austin (TX),Wildlife,Sick,Other,Unknown,9 months,Fox Mix,Red/Tan,,12/12/2013 03:48:00 PM,12/12/2013 03:48:00 PM,03/12/2013,Other,Unknown,9 months,Fox Mix,Red/Tan,1.0
A788628,Zasha,02/06/2019 06:38:00 AM,02/06/2019 06:38:00 AM,Austin (TX),Stray,Nursing,Cat,Intact Female,1 day,Domestic Shorthair Mix,White/Brown Tabby,Zasha,05/12/2019 06:35:00 PM,05/12/2019 06:35:00 PM,02/05/2019,Cat,Spayed Female,3 months,Domestic Shorthair Mix,White/Brown Tabby,0.0
A673275,Prince,02/21/2014 12:22:00 PM,02/21/2014 12:22:00 PM,9308 N Lamar in Austin (TX),Stray,Normal,Dog,Intact Male,3 years,Pit Bull Mix,Blue Tiger/White,Prince,03/19/2014 03:17:00 PM,03/19/2014 03:17:00 PM,02/21/2011,Dog,Intact Male,3 years,Pit Bull Mix,Blue Tiger/White,1.0
A784146,,11/12/2018 01:56:00 PM,11/12/2018 01:56:00 PM,7710 Blue Goose Road in Manor (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Medium Hair Mix,Orange Tabby/White,,11/23/2018 09:04:00 PM,11/23/2018 09:04:00 PM,09/12/2018,Cat,Intact Male,2 months,Domestic Medium Hair Mix,Orange Tabby/White,0.0
A783950,Lola,12/04/2018 11:08:00 AM,12/04/2018 11:08:00 AM,Outside Jurisdiction,Owner Surrender,Normal,Dog,Spayed Female,5 years,Staffordshire Mix,Tan/White,Lola,11/26/2018 05:05:00 PM,11/26/2018 05:05:00 PM,01/28/2013,Dog,Spayed Female,5 years,Staffordshire Mix,Tan/White,0.0
A803724,Bruno,09/05/2019 12:05:00 PM,09/05/2019 12:05:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,7 months,Wire Hair Fox Terrier,Black/Tan,Bruno,09/06/2019 04:14:00 PM,09/06/2019 04:14:00 PM,01/05/2019,Dog,Neutered Male,8 months,Wire Hair Fox Terrier,Black/Tan,0.0
A783719,*Elmer,11/05/2018 10:25:00 AM,11/05/2018 10:25:00 AM,2305 Park Lane in Webberville (TX),Stray,Normal,Dog,Intact Male,5 months,Great Pyrenees/Catahoula,White/Brown,*Elmer,11/12/2018 03:59:00 PM,11/12/2018 03:59:00 PM,05/21/2018,Dog,Intact Male,5 months,Great Pyrenees/Catahoula,White/Brown,0.0
A726864,,05/15/2016 03:27:00 PM,05/15/2016 03:27:00 PM,10015 Old Lockhart Hwy in Austin (TX),Stray,Normal,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Orange Tabby,,05/15/2016 05:17:00 PM,05/15/2016 05:17:00 PM,04/23/2016,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Orange Tabby,0.0
A729606,Elwood,06/21/2016 09:14:00 AM,06/21/2016 09:14:00 AM,7000 Decker Ln in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Basset Hound/Labrador Retriever,Brown,Elwood,06/26/2016 05:38:00 PM,06/26/2016 05:38:00 PM,06/21/2014,Dog,Neutered Male,2 years,Basset Hound/Labrador Retriever,Brown,0.0
A707383,*Poldark,07/12/2015 11:03:00 AM,07/12/2015 11:03:00 AM,6707 Creedmoor Drive in Austin (TX),Stray,Normal,Dog,Intact Male,2 months,Anatol Shepherd/Australian Shepherd,Tricolor,*Poldark,07/29/2015 03:51:00 PM,07/29/2015 03:51:00 PM,04/12/2015,Dog,Intact Male,3 months,Anatol Shepherd/Australian Shepherd,Tricolor,0.0
A727699,,05/25/2016 08:02:00 AM,05/25/2016 08:02:00 AM,11405 Oakwood in Austin (TX),Stray,Injured,Cat,Spayed Female,10 years,Domestic Shorthair Mix,Black/White,,06/02/2016 02:29:00 PM,06/02/2016 02:29:00 PM,05/25/2006,Cat,Spayed Female,10 years,Domestic Shorthair Mix,Black/White,1.0
A708286,Euchre,07/25/2015 11:58:00 AM,07/25/2015 11:58:00 AM,1616 6Th Street in Austin (TX),Stray,Normal,Cat,Neutered Male,3 years,Domestic Shorthair Mix,Gray,Euchre,07/30/2015 01:57:00 PM,07/30/2015 01:57:00 PM,07/25/2012,Cat,Neutered Male,3 years,Domestic Shorthair Mix,Gray,0.0
A755288,,08/01/2017 07:29:00 AM,08/01/2017 07:29:00 AM,Austin (TX),Stray,Injured,Cat,Intact Male,2 years,Domestic Shorthair Mix,Orange Tabby/White,,08/01/2017 10:48:00 AM,08/01/2017 10:48:00 AM,08/01/2015,Cat,Intact Male,2 years,Domestic Shorthair Mix,Orange Tabby/White,0.0
A789704,Snickers,02/26/2019 11:26:00 AM,02/26/2019 11:26:00 AM,5207 Woodrow in Austin (TX),Owner Surrender,Normal,Dog,Intact Male,3 years,Chihuahua Shorthair Mix,White/Brown,Snickers,03/19/2019 02:26:00 PM,03/19/2019 02:26:00 PM,02/26/2016,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,White/Brown,0.0
A724124,George,04/12/2016 01:05:00 PM,04/12/2016 01:05:00 PM,1900 E Mlk in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Australian Cattle Dog Mix,Red/White,George,04/18/2016 06:43:00 PM,04/18/2016 06:43:00 PM,04/12/2015,Dog,Neutered Male,1 year,Australian Cattle Dog Mix,Red/White,0.0
A692375,*Spinoza,11/19/2014 10:54:00 AM,11/19/2014 10:54:00 AM,4014 W William Cannon Dr in Austin (TX),Owner Surrender,Normal,Dog,Intact Male,4 weeks,German Shepherd/Labrador Retriever,Black/White,*Spinoza,12/20/2014 05:56:00 PM,12/20/2014 05:56:00 PM,10/19/2014,Dog,Neutered Male,2 months,German Shepherd/Labrador Retriever,Black/White,0.0
A750648,,05/30/2017 08:01:00 AM,05/30/2017 08:01:00 AM,12034 Research in Austin (TX),Stray,Sick,Dog,Intact Male,5 months,Pit Bull Mix,White,,05/30/2017 01:26:00 PM,05/30/2017 01:26:00 PM,11/30/2016,Dog,Intact Male,5 months,Pit Bull Mix,White,0.0
A717021,,11/30/2015 05:23:00 PM,11/30/2015 05:23:00 PM,6600 Elm Creek Dr in Austin (TX),Stray,Normal,Cat,Intact Female,10 years,Domestic Shorthair Mix,Brown Tabby/White,,11/30/2015 06:29:00 PM,11/30/2015 06:29:00 PM,11/30/2005,Cat,Intact Female,10 years,Domestic Shorthair Mix,Brown Tabby/White,1.0
A726173,,05/07/2016 01:22:00 PM,05/07/2016 01:22:00 PM,20636 Cameron in Travis (TX),Stray,Normal,Cat,Intact Male,4 months,Domestic Shorthair Mix,Brown Tabby,,05/11/2016 07:04:00 PM,05/11/2016 07:04:00 PM,12/07/2015,Cat,Neutered Male,5 months,Domestic Shorthair Mix,Brown Tabby,0.0
A694795,Rosie,07/13/2015 02:18:00 PM,07/13/2015 02:18:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,1 year,Pit Bull Mix,Brown/White,Rosie,08/27/2015 12:00:00 AM,08/27/2015 12:00:00 AM,01/04/2014,Dog,Spayed Female,1 year,Pit Bull Mix,Brown/White,0.0
A772638,*Max,05/22/2018 09:47:00 AM,05/22/2018 09:47:00 AM,10801 Old Manchaca Rd in Austin (TX),Stray,Sick,Cat,Intact Male,4 weeks,Domestic Medium Hair Mix,White/Blue,*Max,06/16/2018 01:23:00 PM,06/16/2018 01:23:00 PM,04/22/2018,Cat,Intact Male,1 month,Domestic Medium Hair Mix,White/Blue,0.0
A711213,Princess,09/03/2015 05:35:00 PM,09/03/2015 05:35:00 PM,5000 Coffee Cup Cove in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Labrador Retriever Mix,Tan/White,Princess,09/11/2015 06:40:00 PM,09/11/2015 06:40:00 PM,09/03/2014,Dog,Spayed Female,1 year,Labrador Retriever Mix,Tan/White,0.0
A769410,,04/14/2018 04:56:00 PM,04/14/2018 04:56:00 PM,Feathercrest Drive And Single Trace in Austin (TX),Stray,Normal,Dog,Intact Female,3 years,Chihuahua Shorthair Mix,Tan/White,,04/18/2018 05:50:00 PM,04/18/2018 05:50:00 PM,04/04/2015,Dog,Spayed Female,3 years,Chihuahua Shorthair Mix,Tan/White,0.0
A763361,*Rose,12/08/2017 02:21:00 PM,12/08/2017 02:21:00 PM,4501 Lareina Drive in Austin (TX),Stray,Normal,Cat,Intact Female,1 year,Domestic Shorthair Mix,Brown Tabby/White,*Rose,12/20/2017 05:31:00 PM,12/20/2017 05:31:00 PM,12/08/2016,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Brown Tabby/White,0.0
A671537,*Daniel,01/26/2014 04:55:00 PM,01/26/2014 04:55:00 PM,4703 Delores in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Anatol Shepherd/Labrador Retriever,White/Tan,*Daniel,02/02/2014 02:00:00 PM,02/02/2014 02:00:00 PM,07/26/2012,Dog,Intact Male,1 year,Anatol Shepherd/Labrador Retriever,White/Tan,0.0
A666071,*June,10/26/2013 02:45:00 PM,10/26/2013 02:45:00 PM,5240 Mathra in Del Valle (TX),Stray,Normal,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Brown Tabby,*June,10/30/2013 03:14:00 PM,10/30/2013 03:14:00 PM,09/26/2013,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Brown Tabby,0.0
A706132,Tris,06/25/2015 11:20:00 AM,06/25/2015 11:20:00 AM,Quaker Ridge Lost Creek in Austin (TX),Stray,Normal,Dog,Spayed Female,2 years,Australian Shepherd Mix,Black/Tan,Tris,07/01/2015 02:56:00 PM,07/01/2015 02:56:00 PM,06/25/2013,Dog,Spayed Female,2 years,Australian Shepherd Mix,Black/Tan,0.0
A741105,,12/28/2016 11:53:00 AM,12/28/2016 11:53:00 AM,2900 Centry Park Blvd in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,American Staffordshire Terrier Mix,White,,01/07/2017 03:33:00 PM,01/07/2017 03:33:00 PM,12/28/2015,Dog,Spayed Female,1 year,American Staffordshire Terrier Mix,White,0.0
A681526,,06/17/2014 11:23:00 PM,06/17/2014 11:23:00 PM,12118 Walnut Park Xing. in Austin (TX),Public Assist,Normal,Cat,Intact Female,1 year,Domestic Medium Hair Mix,Blue Tabby,,06/21/2014 09:00:00 AM,06/21/2014 09:00:00 AM,06/17/2013,Cat,Intact Female,1 year,Domestic Medium Hair Mix,Blue Tabby,0.0
A786348,,12/22/2018 03:11:00 PM,12/22/2018 03:11:00 PM,2142 East 7Th Street in Austin (TX),Stray,Normal,Cat,Intact Female,2 months,Domestic Shorthair Mix,Black/White,,12/27/2018 04:18:00 PM,12/27/2018 04:18:00 PM,09/22/2018,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Black/White,0.0
A678492,,05/09/2014 02:32:00 PM,05/09/2014 02:32:00 PM,Rosenberry Dr in Austin (TX),Stray,Normal,Cat,Intact Male,3 weeks,Siamese Mix,Lilac Point,,05/09/2014 03:28:00 PM,05/09/2014 03:28:00 PM,04/17/2014,Cat,Intact Male,3 weeks,Siamese Mix,Lilac Point,0.0
A682618,,06/30/2014 01:49:00 PM,06/30/2014 01:49:00 PM,Travis (TX),Euthanasia Request,Normal,Dog,Neutered Male,5 years,Australian Cattle Dog,Blue Merle,,06/30/2014 04:00:00 PM,06/30/2014 04:00:00 PM,12/30/2008,Dog,Neutered Male,5 years,Australian Cattle Dog,Blue Merle,1.0
A662854,Copper,11/15/2016 05:08:00 PM,11/15/2016 05:08:00 PM,1807 Magazine in Austin (TX),Stray,Normal,Dog,Neutered Male,5 years,Australian Shepherd Mix,Blue Merle,Copper,11/22/2016 12:00:00 AM,11/22/2016 12:00:00 AM,09/09/2011,Dog,Neutered Male,5 years,Australian Shepherd Mix,Blue Merle,0.0
A673080,*Mindy,02/19/2014 01:51:00 PM,02/19/2014 01:51:00 PM,Travis (TX),Public Assist,Normal,Dog,Intact Female,4 years,Yorkshire Terrier Mix,Gray/Tan,*Mindy,04/29/2014 02:44:00 PM,04/29/2014 02:44:00 PM,02/19/2010,Dog,Spayed Female,4 years,Yorkshire Terrier Mix,Gray/Tan,0.0
A752511,*Ulysses,06/23/2017 11:38:00 AM,06/23/2017 11:38:00 AM,Ih 35 And E Braker Ln in Austin (TX),Stray,Normal,Cat,Intact Male,3 months,Domestic Shorthair Mix,Black,*Ulysses,08/19/2017 12:52:00 PM,08/19/2017 12:52:00 PM,03/23/2017,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Black,0.0
